model_id,arch,metric,quality,params,psnr,mse,bpp,compression_ratio,time
cheng2020-anchor_mse_q4,cheng2020-anchor,mse,4,26598956,-6.5450,1090391451214.290894,7.8239,1096.13,3.80
cheng2020-anchor_mse_q5,cheng2020-anchor,mse,5,26598956,75.7947,6362.204855,10.9559,782.77,3.79
cheng2020-anchor_mse_q6,cheng2020-anchor,mse,6,26598956,66.7481,51082.410386,15.1147,567.40,3.79
cheng2020-attn_ms-ssim_q1,cheng2020-attn,ms-ssim,1,13183293,69.8631,24932.576472,4.1325,2075.27,2.35
cheng2020-attn_ms-ssim_q2,cheng2020-attn,ms-ssim,2,13183293,70.6522,20790.243467,5.8416,1468.08,2.36
cheng2020-attn_ms-ssim_q3,cheng2020-attn,ms-ssim,3,13183293,72.7224,12907.393853,8.2016,1045.65,2.36
cheng2020-attn_ms-ssim_q4,cheng2020-attn,ms-ssim,4,29631788,75.2889,7148.009051,12.3537,694.20,4.41
cheng2020-attn_ms-ssim_q5,cheng2020-attn,ms-ssim,5,29631788,76.6741,5196.006758,16.9417,506.21,4.41
cheng2020-attn_ms-ssim_q6,cheng2020-attn,ms-ssim,6,29631788,76.9619,4862.856948,22.0584,388.79,4.41
cheng2020-attn_mse_q1,cheng2020-attn,mse,1,13183293,71.6319,16591.657818,2.7597,3107.61,2.37
cheng2020-attn_mse_q2,cheng2020-attn,mse,2,13183293,72.0377,15111.461311,3.7909,2262.28,2.36
cheng2020-attn_mse_q3,cheng2020-attn,mse,3,13183293,72.5091,13557.067460,5.3539,1601.81,2.36
cheng2020-attn_mse_q4,cheng2020-attn,mse,4,29631788,74.6591,8263.642779,8.1104,1057.41,4.41
cheng2020-attn_mse_q5,cheng2020-attn,mse,5,29631788,75.6655,6554.358921,10.9589,782.56,4.41
cheng2020-attn_mse_q6,cheng2020-attn,mse,6,29631788,74.2642,9050.325335,15.0147,571.17,4.41
mbt2018_ms-ssim_q1,mbt2018,ms-ssim,1,14130467,67.7183,40855.344932,4.1003,2091.54,1.23
mbt2018_ms-ssim_q2,mbt2018,ms-ssim,2,14130467,68.3451,35364.773467,6.0050,1428.15,1.23
mbt2018_ms-ssim_q3,mbt2018,ms-ssim,3,14130467,69.8999,24722.254949,8.5033,1008.55,1.24
mbt2018_ms-ssim_q4,mbt2018,ms-ssim,4,14130467,72.1802,14623.795489,11.5309,743.74,1.23
mbt2018_ms-ssim_q5,mbt2018,ms-ssim,5,25504596,74.1839,9219.098746,16.9905,504.75,1.48
mbt2018_ms-ssim_q6,mbt2018,ms-ssim,6,25504596,76.2253,5761.714546,22.9450,373.76,1.48
mbt2018_ms-ssim_q7,mbt2018,ms-ssim,7,25504596,78.0826,3756.777152,30.7408,278.98,1.48
mbt2018_ms-ssim_q8,mbt2018,ms-ssim,8,25504596,79.1810,2917.274839,41.0396,208.97,1.48
mbt2018_mse_q1,mbt2018,mse,1,14130467,65.1521,73768.140458,2.7304,3140.90,1.24
mbt2018_mse_q2,mbt2018,mse,2,14130467,68.1647,36864.300186,4.0557,2114.55,1.23
mbt2018_mse_q3,mbt2018,mse,3,14130467,70.5675,21199.480913,5.7512,1491.17,1.23
mbt2018_mse_q4,mbt2018,mse,4,14130467,73.2683,11382.720522,8.2580,1038.51,1.23
mbt2018_mse_q5,mbt2018,mse,5,25504596,75.3576,7035.875665,12.0830,709.76,1.48
mbt2018_mse_q6,mbt2018,mse,6,25504596,76.7921,5056.740906,16.4228,522.20,1.48
mbt2018_mse_q7,mbt2018,mse,7,25504596,78.0455,3789.060052,23.0702,371.73,1.48
mbt2018_mse_q8,mbt2018,mse,8,25504596,77.8271,3984.428249,31.3982,273.14,1.48
mbt2018-mean_ms-ssim_q1,mbt2018-mean,ms-ssim,1,7028003,62.5003,135845.840852,4.7008,1824.37,0.56
