模型检查:
  - 模型类型: VAEformer
  - 输入通道数: 268
  - 总参数量: 404,682,016
  - 总通道数: 268

整体误差指标:
  MSE: 1003.34350586
  RMSE: 31.675598
  PSNR: 83.82 dB (使用数据范围: 491518.22)

================================================================================
性能统计
================================================================================
平均编码时间: 0.7100s (标准差: 0.0000s)
平均解码时间: 0.6202s (标准差: 0.0000s)

================================================================================
整体压缩质量评估
================================================================================
 MSE: 1003.34350586 
 RMSE: 31.675598 
 PSNR: 83.82 dB 

================================================================================
各变量的 MSE, RMSE 和 PSNR (平均值)
================================================================================
Channel  变量名             平均MSE           平均RMSE          PSNR           
130      v_300           0.50402468      0.709947        45.31          
131      v_250           0.48266417      0.694740        46.26          
132      v_225           0.38980451      0.624343        46.08          
133      v_200           0.29066905      0.539137        45.92          
134      v_175           0.23613943      0.485942        44.12          
135      v_150           0.18779798      0.433357        44.09          
136      v_125           0.15773709      0.397161        44.24          
137      v_100           0.14029142      0.374555        43.75          
138      v_70            0.07535526      0.274509        46.47          
139      v_50            0.05592642      0.236488        48.58          
140      v_30            0.04873536      0.220761        49.88          
141      v_20            0.04656676      0.215793        50.68          
142      v_10            0.04598499      0.214441        52.24          
143      v_7             0.04073181      0.201821        52.74          
144      v_5             0.03847305      0.196145        53.22          
145      v_3             0.05550220      0.235589        52.51          
146      v_2             0.05550651      0.235598        52.57          
147      v_1             0.05966387      0.244262        54.88          
148      t_1000          0.19062188      0.436603        45.12          
149      t_975           0.17253026      0.415368        46.29          
150      t_950           0.14359185      0.378935        46.24          
151      t_925           0.12629023      0.355373        46.74          
152      t_900           0.11836880      0.344048        46.97          
153      t_875           0.10458843      0.323401        47.46          
154      t_850           0.09075373      0.301254        48.02          
155      t_825           0.08204742      0.286439        48.39          
156      t_800           0.07700410      0.277496        48.62          
157      t_775           0.07990152      0.282669        48.32          
158      t_750           0.08102605      0.284651        48.10          
159      t_700           0.08588464      0.293061        47.71          
160      t_650           0.07881335      0.280737        47.44          
161      t_600           0.05173945      0.227463        47.76          
162      t_550           0.04113544      0.202819        47.52          
163      t_500           0.03723804      0.192972        47.54          
164      t_450           0.03843291      0.196043        47.33          
165      t_400           0.03541366      0.188185        47.80          
166      t_350           0.03338344      0.182711        48.01          
167      t_300           0.03218112      0.179391        47.74          
168      t_250           0.03896733      0.197401        46.17          
169      t_225           0.03453373      0.185833        46.51          
170      t_200           0.02952531      0.171829        47.82          
171      t_175           0.02635748      0.162350        48.01          
172      t_150           0.02310124      0.151991        47.85          
173      t_125           0.02317952      0.152248        48.06          
174      t_100           0.02832738      0.168307        49.27          
175      t_70            0.02330522      0.152660        48.72          
176      t_50            0.02232786      0.149425        48.80          
177      t_30            0.02291950      0.151392        49.17          
178      t_20            0.02154344      0.146777        50.25          
179      t_10            0.02378565      0.154226        51.46          
180      t_7             0.02313257      0.152094        52.28          
181      t_5             0.02126348      0.145820        52.81          
182      t_3             0.03551436      0.188453        51.57          
183      t_2             0.03824906      0.195574        52.24          
184      t_1             0.04097295      0.202418        51.67          
185      r_1000          9.79955196      3.130424        33.48          
186      r_975           10.47796535     3.236969        33.16          
187      r_950           13.34185028     3.652650        32.12          
188      r_925           14.93329906     3.864363        31.63          
189      r_900           15.23067093     3.902649        31.56          
190      r_875           15.19428062     3.897984        31.61          
191      r_850           14.48642254     3.806103        31.79          
192      r_825           13.71544361     3.703437        32.03          
193      r_800           12.15206051     3.485981        32.81          
194      r_775           11.27666759     3.358075        32.87          
195      r_750           14.26167011     3.776463        31.83          
196      r_700           18.59076118     4.311700        30.64          
197      r_650           18.36305618     4.285213        30.92          
198      r_600           19.24108315     4.386466        30.63          
199      r_550           20.98978806     4.581461        28.92          
200      r_500           21.35387993     4.621026        28.90          
201      r_450           25.55545044     5.055240        28.13          
202      r_400           25.84726906     5.084021        28.12          
203      r_350           26.21281052     5.119845        28.54          
204      r_300           27.52854347     5.246765        28.95          
205      r_250           25.95674324     5.094776        29.04          
206      r_225           19.11750793     4.372357        30.84          
207      r_200           12.61351204     3.551551        32.58          
208      r_175           7.45407534      2.730215        34.13          
209      r_150           4.87022018      2.206857        35.91          
210      r_125           3.09263492      1.758589        38.27          
211      r_100           2.55809784      1.599405        39.66          
212      r_70            0.31996727      0.565656        45.47          
213      r_50            0.04720143      0.217259        53.73          
214      r_30            0.02858474      0.169070        54.60          
215      r_20            0.01599653      0.126477        56.03          
216      r_10            0.00263690      0.051351        58.77          
217      r_7             0.00067694      0.026018        58.53          
218      r_5             0.00018318      0.013534        54.92          
219      r_3             0.00004146      0.006439        47.06          
220      r_2             0.00001423      0.003772        45.03          
221      r_1             0.00000031      0.000554        47.88          
222      w_1000          0.00347911      0.058984        41.30          
223      w_975           0.00429424      0.065530        40.41          
224      w_950           0.00558957      0.074763        41.07          
225      w_925           0.00676516      0.082251        40.50          
226      w_900           0.00757551      0.087037        41.28          
227      w_875           0.00801487      0.089526        41.64          
228      w_850           0.00823903      0.090769        42.82          
229      w_825           0.00835031      0.091380        43.97          
230      w_800           0.00881067      0.093865        44.52          
231      w_775           0.00957202      0.097837        44.64          
232      w_750           0.01057253      0.102823        44.46          
233      w_700           0.01288797      0.113525        43.69          
234      w_650           0.01422520      0.119269        43.08          
235      w_600           0.01366631      0.116903        43.84          
236      w_550           0.01193174      0.109233        44.78          
237      w_500           0.01027168      0.101349        45.64          
238      w_450           0.00895108      0.094610        45.42          
239      w_400           0.00765940      0.087518        44.97          
240      w_350           0.00661308      0.081321        44.86          
241      w_300           0.00535579      0.073183        44.95          
242      w_250           0.00280027      0.052918        46.86          
243      w_225           0.00190094      0.043600        46.66          
244      w_200           0.00134153      0.036627        45.19          
245      w_175           0.00098188      0.031335        44.59          
246      w_150           0.00070958      0.026638        42.54          
247      w_125           0.00052206      0.022849        40.23          
248      w_100           0.00033857      0.018400        39.26          
249      w_70            0.00010646      0.010318        38.82          
250      w_50            0.00005344      0.007310        35.36          
251      w_30            0.00001983      0.004453        36.83          
252      w_20            0.00001063      0.003260        36.66          
253      w_10            0.00000306      0.001749        40.83          
